word,type,meanings
ene,noun,The name of the Latin-script letter N.
enigma,noun,enigma
enigmatiko,adjective,enigmatic
enparantza,noun,plaza
entziklopedia,noun,encyclopedia
entzule,noun,"hearer, listener"
entzun,verb,"to hear, listen"
epail,noun,March
epaile,noun,judge | referee
epe,noun,term (due date)
eper,noun,partridge
epistemologia,noun,epistemology (branch of philosophy studying knowledge)
-era,suffix,Used to form names of languages from toponyms.
era,noun,manner
erabakitze,noun,decision
erabili,verb,"to use, make use of | to use someone, misuse | to plan, think on, meditate"
erabilketa,noun,use | application
erabiltzaile,noun,user
erakutsi,verb,to show (have somebody see something) | to teach
eraman,verb,"to take, carry | to carry, convey, transport | to wear | to lead, direct | to remove, steal | to run something | to bear, stand, suffer, accept | to win, overcome, achieve | to pass (time)"
erantzun,noun,response | responsibility
erantzun,verb,"to answer | to respond, react | to return, repay"
eraztun,noun,ring
erbi,noun,hare
erdara,noun,"Any language other than Basque, especially Spanish and French."
erdi,adverb,half | somewhat
erdi,noun,"(animate or inanimate) half | (inanimate) middle, center | (inanimate, nautical) a boat's centerline"
erdi,verb,to give birth
ere,conjunction,also
ereiaro,noun,June.
eri,adjective,"sick, ill"
eri,noun,"(inanimate) sickness, illness, disease | (animate) sick person"
eri,noun,(Northern) finger | (Northern) toe
-eria,suffix,Used to create collective nouns.
erietxe,noun,hospital
erion,verb,"to spill, pour, leak"
eritasun,noun,"illness, sickness, disease"
erkidego,noun,community
erla-,prefix,combining form of erle (“bee”)
erlategi,noun,"apiary, a place where beehives are kept"
erlauntza,noun,beehive
erle,noun,bee
erlezain,noun,beekeeper
erlezaintza,noun,beekeeping
erlijio,noun,religion
erloju,noun,"clock | watch, wristwatch"
ermita,noun,"(inanimate) hermitage | (inanimate) An isolated chapel, shrine or other sanctuary, often in the care of a hermit or anchorite. | (animate) hermit"
erne,verb,"to sprout, to germinate"
-ero,suffix,"Used to form adverbs from nouns of time; every, each"
eroan,verb,(chiefly Biscayan) to carry | (physics) to conduct
eroate,noun,Verbal noun of eroan.
erori,verb,"to fall, to drop"
eros,noun,(psychology) eros
eros,verb,Infinitive of erosi.
erosi,verb,to buy | to bribe
erosi,noun,dative indefinite of eros
erosketa,noun,shopping
erosle,noun,"buyer, purchaser"
errai,noun,"entrails, offal"
errain,noun,daughter-in-law
erraldoi,adjective,"giant, enormous"
erraldoi,noun,a giant
erran,verb,"to say, tell"
erratza,noun,broom
errauts,noun,The solid remains of a fire; ashes.
erraz,adjective,easy
erraz,adverb,easily
erre,verb,"to burn | to smoke | to bake, to cook"
erre,noun,The name of the Latin-script letter R.
erreferentzia,noun,reference
errege,noun,king | (card games) king | (chess) king
erregina,noun,queen
erreinu,noun,realm
erreka,noun,"stream, crook | (Northern) irrigation ditch | (Northern) valley | (figuratively, only in certain expressions) misery, poverty, bankruptcy"
errementari,noun,blacksmith
errepide,noun,road
errepika,noun,(music) refrain
erresuma,noun,"kingdom | realm, country, state"
errez,adjective,Nonstandard form of erraz.
errez,adverb,Nonstandard form of erraz.
errez,noun,instrumental indefinite of erre
erri,noun,Obsolete spelling of herri
erroi,noun,raven
errota,noun,mill
errotore,noun,rotor
erru,noun,fault
errugbilari,noun,(sports) rugby player
errumaniar,adjective,Romanian
errumaniar,noun,A Romanian person (man or woman)
errumaniera,noun,The Romanian language
errusiar,adjective,Russian
errusiar,noun,A Russian person (man or woman)
errusiera,noun,The Russian language
ertz,noun,"border, end, extreme, shore | parting, part (dividing line formed by combing the hair in different directions)"
ertzain,noun,"agent of the Ertzaintza (the Basque police) | police, bailiff"
esan,verb,"to say, tell"
ese,noun,The name of the Latin-script letter S.
eseri,verb,to sit down
eskailera,noun,"stair, stairs | ladder"
esker,noun,"gratitude, thankfulness | benefit | merit"
esker,postposition,"thanks to, owing to"
eskerrik asko,interjection,thank you
eskinoso,noun,jay
eskizofrenia,noun,schizophrenia
eskola,noun,school
eskribitu,verb,to write
esku,noun,hand
eskubaloi,noun,handball
eskubide,noun,"right (that which complies with justice, law or reason) | entitlement, power, authority | permission | privilege"
eskubide zibil,noun,civil right
eskubila,noun,comb | brush
eskuin,noun,"right, right hand side"
eskularru,noun,glove
eskumutur,noun,wrist | cuff
eskumuturreko,noun,bracelet | cufflink
eskusoinu,noun,accordion
eskutitz,noun,letter (message)
eslovakiar,adjective,Slovak
eslovakiar,noun,A Slovak person (man or woman)
eslovakiera,noun,The Slovak language
esloveniar,adjective,Slovenian
esloveniar,noun,A Slovenian person (man or woman)
esloveniera,noun,The Slovenian language
esne,noun,milk
espainiar,adjective,Spanish
espainiar,noun,A Spanish person (man or woman)
espazio,noun,space
espazio-ontzi,noun,"spaceship, spacecraft"
esperanto,noun,Esperanto
espetxe,noun,"jail, gaol; prison"
espiritu,noun,spirit
espresuki,adverb,"specifically | on purpose, deliberately"
estali,verb,"to cover, put on (lid) | to protect | to cover up, conceal, mask | to fill | to breed (animal)"
estatore,noun,stator
estatu,noun,state (polity)
estatua,noun,statue
estatua,noun,absolutive singular of estatu
estetoskopio,noun,stethoscope
estoniar,adjective,Estonian
estoniar,noun,An Estonian person (man or woman)
estoniera,noun,The Estonian language
estralurtar,adjective,"extraterrestrial, alien"
estralurtar,noun,"extraterrestrial, alien"
-eta,suffix,Used to form toponyms.
eta,conjunction,"and | (mathematics) plus, and | upon, after | (Southern) since, because"
eta,noun,eta (Greek letter)
eten,verb,"break, separate | stop, interrupt"
eten,noun,genitive plural of eta
etete,noun,Verbal noun of eten.
etorri,verb,to come
etorri,noun,eloquence | flow
etortze,noun,Verbal noun of etorri.
etsai,noun,"enemy, opponent, adversary | devil"
etse,noun,Archaic form of etxe.
etxe,noun,"house | home | building, place where an activity takes place (usually in compounds) | family, lineage"
Etxe Zuria,noun,White House
etxe-katu,noun,domestic cat
etxe-txakur,noun,domestic dog
etzan,verb,"to lie, lie down | to lay | to mean, be"
etzate,noun,Verbal noun of etzan.
etzi,adverb,day after tomorrow
euli,noun,fly
eurak,pronoun,(chiefly Biscayan) Third-person plural personal pronoun; they
euren burua,pronoun,Third-person plural reflexive pronoun; themselves
euren buruak,pronoun,Alternative form of euren burua
euri,noun,rain
euritako,noun,umbrella
euritsu,adjective,rainy
eurok,pronoun,"(chiefly Biscayan) Third-person plural personal pronoun; they | (chiefly Biscayan, formal) Second-person plural personal pronoun; you"
euskal,adjective,(attributive) Basque (relating to the Basque people or their language)
euskaldun,noun,Basque (member of a people) | Basque-speaker
euskalki,noun,dialect of the Basque language
euskaltegi,noun,A school for teaching the Basque language.
euskaltzale,noun,expert in Basque studies | Someone who admires the Basque language or culture.
euskara,noun,The Basque language
euskaratu,verb,to translate into Basque
euskera,noun,The Basque language
ez,adverb,not
ez,interjection,no
ez,noun,"no (negating expression) | hardship, poverty"
ez horregatik,interjection,you're welcome
ezagun,adjective,known | famous
ezagun,noun,acquaintance
ezagun,verb,"Informal  second-person singular  feminine    (hik), taking    third-person singular     (hura) as direct object,  present  imperative form of ezagutu."
ezagutu,verb,"to know, to be aware of | to meet | to acknowledge | to distinguish | (transitive, archaic, biblical) to know, have sexual relations with"
ezagutze,noun,Verbal noun of ezagutu.
ezbardintasun,noun,(Biscayan) Alternative form of ezberdintasun
ezberdin,adjective,different
ezberdintasun,noun,difference | inequality
ezer,pronoun,anything | nothing (in negative contexts)
ezezagun,adjective,unknown
ezezagun,noun,"(animate) stranger | (inanimate, algebra) unknown (variable whose value is to be found)"
-ezin,suffix,"un-, in-"
ezker,adjective,left-handed | left
ezker,noun,"left (hand) | left (side) | (politics) left, left-wing"
ezko,noun,wax
ezko,adjective,"damp, humid"
ezkondu,verb,to marry
ezkongabe,adjective,unmarried
ezkongabe,noun,"bachelor, single"
ezkontza,noun,"marriage, matrimony | wedding | relationship"
ezkor,adjective,negative
ezkur,noun,acorn
ezkutatu,verb,"to hide, conceal | to disappear"
ezpain,noun,lip
ezpata,noun,sword
ezpel,noun,box tree
eztainu,noun,tin (element)
eztarri,noun,(anatomy) throat | voice
ezti,noun,honey
eztul egin,verb,to cough
eñe,noun,The name of the Latin-script letter Ñ.
fakokero,noun,warthog
fanfarroi,adjective,boastful
fanfarroi,noun,boaster
farra,noun,Nonstandard form of barre.
fatxada,noun,façade.
fetitxe,noun,fetish
fetitxismo,noun,fetishism
finlandiar,adjective,Finnish
finlandiar,noun,A Finnish person (man or woman)
finlandiera,noun,The Finnish language
fisika,noun,physics
fisikari,noun,physicist
flatulentzia,noun,flatulence
fluor,noun,fluorine
fotoi,noun,(physics) photon
fotolumineszentzia,noun,(physics) photoluminescence
fotosfera,noun,(astronomy) photosphere
frantses,adjective,French
frantses,noun,a French person
frantses,noun,the French language
frantziar,adjective,French
frantziar,noun,A French person (man or woman)
fruta,noun,fruit (edible part of a plant)
futbol,noun,"football, soccer"
futbolari,noun,"(soccer) footballer (British); football player (Britain), soccer player (US, Canada, Australia)"
gabarra,noun,barge
gabarrari,noun,bargeman
gabarrari,noun,dative indefinite of gabarra | dative singular of gabarra
gabe,postposition,"[+partitive, absolutive] without | [+absolutive] instead of | [+absolutive] before (earlier than)"
gabe,adjective,"poor, in need"
gabe,noun,"lack, hardship"
gabez,postposition,[+absolutive] without
gabez,adjective,instrumental indefinite of gabe
gabez,noun,instrumental indefinite of gabe
gabon,interjection,good night | good evening (after 8 PM)
gai,noun,"material | matter, stuff | topic, subject"
gai izan,verb,"to be capable, to be able"
gailu,noun,device
gailur,noun,"peak, summit, tip"
gain,noun,summit
gaixorik,adjective,"sick, ill, crank."
gaixotasun,noun,disease
gaizki,adverb,bad
gaizto,adjective,"evil, mean | (oncology) malignant"
galdu,verb,"to lose | to miss | to get lost | (food) to spoil, go off"
gale,noun,eagerness
galeper,noun,quail
galesera,noun,The Welsh language
galga,noun,brake
galiziar,adjective,Galician (of Galicia in Iberia)
galiziar,noun,A Galician person (man or woman)
galtzairu,noun,"(dialectal, Navarro-Lapurdian) Alternative form of altzairu"
galtzak,noun,trousers | (dialectal) stockings
galtzarbe,noun,(anatomy) armpit
galtzari,noun,garter
galtzerdi,noun,stocking | sock
galtzetin,noun,sock
gamelu,noun,camel | (informal) pusher
ganibet,noun,knife
gar,noun,blaze
garabi,noun,crane (lifting machine)
garagar,noun,barley
garagardo,noun,beer
garagarril,noun,June. | July.
garai,noun,"time, moment"
garai,adjective,high | (figuratively) outstanding
garai,noun,"(literary) top, (highest or uppermost part of something)"
garai,noun,(Biscayan) granary
garaipen,noun,victory
garatxo,noun,wart
garbantzu,noun,garbanzo; chickpea
garbigailu,noun,washing machine
garbitzaile,noun,cleaner
garesti,adjective,expensive | dear
gari,noun,wheat
garil,noun,July
Garizuma,noun,Alternative letter-case form of garizuma
garizuma,noun,Lent
-garren,suffix,Ordinal number suffix.
garun,noun,brain
gas,noun,gas
gatazka,noun,"brawl, conflict, dispute, fight"
gatz,noun,salt | good humor
gau,noun,night
gauenara,noun,bat
gaupasa,noun,all-nighter
gaur,adverb,today
gaur egun,adverb,nowadays
gauza,noun,that which is considered to exist as a separate entity or concept; thing. | any physical or psychical entity
gauza izan,verb,"To have sufficient power, strength, force, skill, means, or resources of any kind to accomplish X; to possess the qualifications rendering competent for some end; to be competent, qualified, able, capable, apt…"
gazi,adjective,"salty | sour, acid | (figuratively) dirty, coarse"
gazta,noun,cheese
gaztaina,noun,Spanish chestnut
gazte,adjective,young
gaztelania,noun,The Spanish language
gaztelera,noun,The Spanish language
gaztelu,noun,castle
gaztetxe,noun,place where young people get together to engage in different activities.
ge,noun,The name of the Latin-script letter G.
geiser,noun,geyser
gela,noun,a room
geltoki,noun,station | stop (place where buses or trams stop halt to let passengers on and off) | halt (minor railway station)
geltokiburu,noun,stationmaster
geografia,noun,geography
georgiar,adjective,Georgian
georgiar,noun,A Georgian person (man or woman)
georgiera,noun,The Georgian language
geraleku,noun,station | a stop
gerezi,noun,cherry
gero,adverb,later
gero,noun,future | (grammar) future tense
gerra,noun,war
gerra zibil,noun,civil war
gerri,noun,"waist | trunk (of a tree) | (figuratively) middle, central part"
gerriko,noun,belt (a band worn around the waist) | belt (anything that resembles a belt) | (sports) sash used in Basque pelota | (martial arts) belt
gerta ahala gerta,adverb,(idiomatic) come what may
gertatu,verb,"to happen, take place | to be, become | to meet, find, discover"
geu,pronoun,(emphatic) First-person plural personal pronoun; we
geure burua,pronoun,First-person plural reflexive pronoun; ourselves
geure buruak,pronoun,Alternative form of geure burua
gezi,noun,arrow
gezurti,noun,liar
gibel,noun,liver
gibel,adjective,"shy, timid | withdrawn, retiring"
gibel,adverb,behind
gida,noun,guide
gidatu,verb,"to guide, lead | to counsel | to drive"
-gile,suffix,maker
giltza,noun,"key | spanner, wrench"
giltzarrapo,noun,padlock
giltzurrun,noun,kidney
gimnasio,noun,gymnasium
-gin,suffix,"maker, doer"
ginarreba,noun,parent-in-law
-gintza,suffix,"-urgy, -ing"
giro,noun,environment
gizatasun,noun,humanity
gizon,noun,man | husband | human
gizongai,noun,fiancé
glaziazio,noun,glaciation
gluoi,noun,gluon
-go,suffix,Alternative form of -ko
goazen,interjection,let’s go! | let’s
goazen,verb,First-person plural     (gu)   present  subjunctive form of joan.
gobernu,noun,government
gogo,noun,"mind, consciousness | soul, spirit | memory | thought, idea"
goi,adjective,high
goi,noun,"up | upper part, upper side | sky"
goilara,noun,spoon
goiz,noun,morning
goiz,adjective,instrumental indefinite of goi
goiz,noun,instrumental indefinite of goi
gona,noun,skirt
gontz,noun,hinge
gor,noun,deaf
gora,adverb,up
gora,interjection,long live
gordin,adjective,raw (uncooked)
gorosti,noun,(botany) holly (Ilex aquifolium)
gorotzil,noun,November
gorputz,noun,body
gorri,adjective,"red | bare, naked"
gorriak ikusi,verb,(idiomatic) go through hell.
gorrimin,noun,(medicine) scarlet fever
gorrimotel,adjective,(color) pink
gorringo,noun,"yolk, egg yolk"
gosaldu,verb,to have breakfast
gosari,noun,breakfast
gotzon,noun,(neologism) angel
gozo,adjective,sweet
greba,noun,strike (not working)
greba orokor,noun,general strike
greko,adjective,Greek
greko,noun,a Greek person
greko,noun,the Greek language
gris,adjective,"gray, grey | dreary | sad | neutral; having an indistinct, disputed or uncertain quality"
gris,noun,"gray, grey"
gu,pronoun,First-person plural personal pronoun; we
guda,noun,"war, warfare"
guero,adverb,Obsolete spelling of gero
guero,noun,Obsolete spelling of gero
gune,noun,"place, area | core, centre"
gune itsu,noun,blind spot
guneka,adverb,intermittently
guraize,noun,scissors
gurdi,noun,cart (a small vehicle more often used for transporting goods than passengers)
gurin,noun,butter
gurpil,noun,wheel
habe,noun,"pole, column | beam | (Biscayan) (Christianity) cross"
haga,noun,"pole, shaft, rod, staff | mast | beam"
hagin,noun,"molar, molar tooth | dent, scratch"
hagin,noun,yew
haiek,pronoun,absolutive plural of hura; those ones (far from speaker and listener) | Third-person plural personal pronoun; they
haiek,pronoun,ergative plural of hura
haitz,noun,"stone, rock"
haize,noun,wind | (in the plural) gas (waste gases trapped in one's belly) | weathercock (person who constantly changes their mind)
haize,interjection,go away
haize-parke,noun,wind farm
haizetsu,adjective,"windy | conceited, smug, self-important | farty, gassy"
hala,adverb,thus
haltz,noun,"alder, Alnus glutinosa"
han,adverb,there (away from the speaker and the listener)
handi,adjective,"big, large"
hanka,noun,leg | ankle
har,noun,"worm, caterpillar"
hara-,noun,combining form of haragi (“meat”)
haragi,noun,"meat, flesh"
harakin,noun,butcher
haran,noun,"valley | district, comarca"
harat-,prefix,combining form of haragi (“meat”)
harategi,noun,butcher's shop
haratustel,noun,carrion | gangrene
hari,noun,wire
hari,pronoun,dative singular of hura
haritz,noun,oak (tree)
haritzezko,adjective,oaken (made from the wood of the oak tree)
harizki,noun,The wood of the oak; oak wood.
harri,noun,"glass | rock, stone"
hartu,verb,"to take, receive, accept | to take, steal, remove | to take, seize, capture | to take, consume (food, medicine) | to take on, hire | to take on, adopt (behavior) | to take in, receive (guest) | to take up, occupy, use"
hartz,noun,bear
has,adjective,bare
has,verb,Infinitive of hasi.
haserre,noun,anger
hasi,verb,"to begin, start"
haste,noun,Verbal noun of hasi.
hatxe,noun,The name of the Latin-script letter H.
hatz,noun,finger
hau,pronoun,(demonstrative) this one
hau,verb,"Third-person singular      (hark), taking    informal  second-person singular     (hi) as direct object,  present  indicative form of izan."
haundi,adjective,"big, large"
haur,noun,child
hauta,noun,choice
hauts,noun,dust
hazil,noun,November
hazlodi,noun,thumb
hebreera,noun,The Hebrew language
hega,noun,flight
hega,adverb,"flying, in flight"
hegal,noun,Alternative form of hego (“wing”).
hegalari,adjective,flying
hegalari,adverb,flying
hegazkin,noun,"aeroplane, airplane, plane"
hegazti,noun,bird
hego,noun,south | south wind
hego,noun,wing | fin
hego-ekialde,noun,southeast
hego-mendebal,noun,southwest
hego-sartalde,noun,southwest
hego-sortalde,noun,southeast
helburu,noun,"goal, objective | bullseye"
helikoptero,noun,helicopter
helio,noun,helium
heliportu,noun,heliport
helize,noun,spiral
hematokrito,noun,hematocrit
hematologia,noun,haematology
hemen,adverb,here
herdoil,noun,rust (oxidation)
heren,noun,(fractional) third
herenegun,adverb,day before yesterday
herensuge,noun,dragon
heriotza,noun,death.
heroi,noun,hero
herra,noun,hatred
herri,noun,"(inanimate) village, town | (animate) people, nation | (inanimate) country"
herriko taberna,noun,(politics) A bar where members of the abertzale left (Basque nationalists) congregate.
heu,pronoun,"(emphatic, informal, familiar) Second-person singular personal pronoun; you"
heure burua,pronoun,"(informal, familiar) Second-person singular reflexive pronoun; yourself"
hezkuntza,noun,"education, formation, instruction"
hezkuntza berezi,noun,special education
hezur,noun,bone
hezurdura,noun,skeleton
hezurtegi,noun,ossuary
hi,pronoun,"(informal, familiar) Second-person singular personal pronoun; you"
hidrogeno,noun,hydrogen
hidrosfera,noun,hydrosphere
hiena,noun,hyena
hika,noun,"muddy area, mire"
hika,noun,a mode of address using the pronoun hi
hil,noun,month (a period into which a year is divided)
hil,adjective,"deceased | (figuratively) faint, tenuous"
hil,noun,death | dead person
hil,verb,(intransitive) to die | (transitive) to kill | (transitive) to murder
hilabete,noun,month (a period into which a year is divided) | month (a period of 30 days)
hilerri,noun,"graveyard, cemetery"
hipersoniko,adjective,"(of a speed, aviation) hypersonic | (of a speed, aeronautics) hypersonic"
hipopotamo,noun,hippo; hippopotamus
hiri,noun,city
hiri,pronoun,dative of hi
hiribide,noun,avenue
hiriburu,noun,a capital (city)
hirigintza,noun,"urbanism, urban planning | urbanization"
hirugarren,adjective,(ordinal) third
hirugarren,noun,(ordinal) third
hiruhortz,noun,three-toothed rake
hiruki,noun,triangle | triplet
hirukoitz,adjective,threefold
historia,noun,history | saga
hitz,noun,word
hitz egin,verb,to speak | to talk
hizkuntza,noun,language
hizkuntzalaritza,noun,linguistics
hiztegi,noun,dictionary | lexicon (the vocabulary of a language) | lexicon (the vocabulary used by an individual)
hodei,noun,cloud
hodeitsu,adjective,cloudy
homosexual,adjective,homosexual
homosexualitate,noun,homosexuality
hondar,noun,sand
hondartza,noun,beach
hontz,noun,owl
hor,adverb,there (near the listener)
hor,noun,(Souletin) Alternative form of or
hori,adjective,yellow
hori,pronoun,(demonstrative) that one
horma,noun,ice
hortz,noun,tooth
hostaro,noun,May
hosto,noun,(informal) leaf
hots,noun,"sound, noise | tone | fame, renoun"
hotz,noun,"cold, coldness"
hotz,adjective,cold
hotz egin,verb,to be cold (weather)
hozkailu,noun,fridge
hungariar,adjective,Hungarian
hungariar,noun,A Hungarian person (man or woman)
hungariera,noun,The Hungarian language
huntz,noun,ivy (plant of the genus Hedera)
huntz arrunt,noun,"common ivy, English ivy (Hedera helix)"
hur,noun,hazelnut
hur,adverb,near
hur,adjective,near
hur,noun,(Souletin) Alternative form of ur (“water”)
hura,pronoun,"(demonstrative) that one (far from speaker and listener) | Third-person singular personal pronoun; he, she, it"
huskune,noun,hole
huts,adjective,"empty | mere, pure"
huts,noun,"fault, error, defect | lack, shortage | (physics) void | (physics) vacuum"
hutsik,adjective,partitive indefinite of huts
hutsik,adverb,emptily | merely
hutsik,noun,partitive indefinite of huts
huñ,noun,(Souletin) Alternative form of oin
i,noun,The name of the Latin-script letter I.
i greko,noun,The name of the Latin-script letter Y.
ia,adverb,almost
iaz,adverb,yesteryear (the last year)
ibai,noun,river
ibaiadar,noun,affluent (river flowing into a larger river or into a lake)
ibaibarren,noun,the lower part of a river
ibaiburu,noun,the higher part of a river
ibaiertz,noun,riverbank
ibairatu,verb,"(of a river, affluent) to flow into another river"
ibar,noun,valley
ibi,noun,ford
ibilgailu,noun,vehicle
ibili,verb,"to walk | to ride (a horse) | to be | to work, function | to attend | to blow (wind) | to move, go, drive | to go out with, date"
idatzi,verb,to write
idazle,noun,writer
idazmakina,noun,typewriter
idi,noun,ox
ido,noun,Ido (constructed language)
iduneko,noun,necklace
igan,verb,"to go up, to climb | to get on"
igande,noun,Sunday
igaz,adverb,last year
igel,noun,frog
igeltsero,noun,"mason, bricklayer"
igo,verb,"to go up, rise, ascend | to raise, hoist | to get on (a vehicle)"
igogailu,noun,"lift, elevator"
igorri,verb,"(Gipuzkoan, Navarro-Lapurdian, Souletin) to send | (Gipuzkoan, Navarro-Lapurdian, Souletin) to expel | (Gipuzkoan, Navarro-Lapurdian, Souletin) to waste, use | (physics) to emit"
iharduki,verb,"(Gipuzkoan, Navarro-Lapurdian, Souletin) to fight, quarrel | (Gipuzkoan, Navarro-Lapurdian, Souletin) to talk, discuss | (Gipuzkoan, Navarro-Lapurdian, Souletin) to answer"
ihi,noun,"reed, rush"
ijito,noun,Roma
-ik,suffix,Forms the partitive case.
ikasbide,noun,learning method | teaching; training
ikasgai,noun,lesson
ikasgela,noun,classroom
ikasi,verb,to learn | to study
ikasi,adjective,"learned, studied"
ikasketa,noun,"study, studying, learning | studies, education, schooling"
ikaskide,noun,classmate; schoolmate
ikaskuntza,noun,"studying, study, learning"
ikasle,noun,"student, pupil | schoolchild"
ikasleria,noun,"student body, students, pupils"
ikasliburu,noun,textbook
ikasmahai,noun,desk (for studying)
ikastaldi,noun,"study time | course, academic year"
ikastaro,noun,educational course
ikastegi,noun,"school, academy"
ikastetxe,noun,school
ikastola,noun,school
ikastordu,noun,schooltime | (in the plural) school schedule
ikastun,noun,"one who is studious | student, apprentice, disciple"
ikastun,adjective,"studious, applied, hard-working | nerdy"
ikasturte,noun,"academic year, school year"
ikatz,noun,coal | (pathology) anthrax
ikertu,verb,"to research | to investigate, enquire into something | to search"
ikur,noun,symbol | mark (galdera ikurra = question mark)
ikurrin,noun,ikurriña; the flag of the Basque Country
ikusi,verb,"to see | to look | to watch | to bear, stand"
ikuste,noun,Verbal noun of ikusi.
ilargi,noun,"moon, satellite"
ilargi bete,noun,full moon
ilargibete,noun,full moon
ilargitar,adjective,Selenite (pertaining to the inhabitants of the Moon)
ilargitar,noun,Selenite (inhabitant of the Moon)
ilbeltz,noun,January
ilberri,noun,new moon
ile,noun,hair
ilen,noun,Monday
ileorde,noun,wig
ilertz,noun,"parting, part (dividing line formed by combing the hair in different directions)"
iloba,noun,"nephew, niece | grandchild, grandson, granddaughter"
ilun,adjective,dark
iluntze,noun,dusk
iman,noun,magnet
iman,noun,imam
immunoeskasia,noun,(immunology) immunodeficiency
inbasio,noun,invasion
inbutu,noun,funnel
indaba,noun,"bean, green bean"
independentzia,noun,independence
indioilar,noun,turkey
indonesiera,noun,The Indonesian language
informazio,noun,information
ingelera,noun,The English language
ingeles,adjective,English
ingeles,noun,a English person
ingeles,noun,the English language
ingeniari,noun,engineer
ingeniaritza,noun,engineering
inoiz,adverb,ever | (with ez) never
inor,pronoun,"anyone, anybody | no one, nobody (in negative contexts)"
inpedantzia,noun,impedance
internazional,adjective,international
intersexualitate,noun,intersexuality
intsektu,noun,insect
intxaur,noun,walnut
inurri,noun,ant
inurritegi,noun,anthill
ioi,noun,ion
ionosfera,noun,ionosphere
ipar,noun,north | north wind
ipar-ekialde,noun,northeast
ipar-mendebal,noun,northwest
ipar-sartalde,noun,northwest
ipar-sortalde,noun,northeast
ipotx,noun,"dwarf, midget"
ipurdi,noun,"buttocks, arse | stump (of a tree)"
ipurtzulo,noun,"anus, arsehole"
ira,noun,fern
irail,noun,September
irakasle,noun,teacher
irakatsi,verb,to teach | to train | to announce
irakin,verb,to boil | to ferment
irakurgela,noun,reading room
irakurle,noun,reader
irakurri,verb,to read
iraun,verb,"to last | to persist, endure"
ireki,verb,"to open, open up"
irin,noun,flour
iritzi,noun,opinion
iritzi,verb,"to express one's opinion, to opine"
irla,noun,island
irrati,noun,radio
irri,noun,smile
irris,noun,rice
irten,verb,"to go out, come out | to leave, depart | to result, to become, to be"
irudi,noun,"picture, image | (mathematics) image"
irudi,verb,to seem
isla,noun,reflection
islandiar,adjective,Icelandic
islandiar,noun,An Icelandic person (man or woman)
islandiera,noun,The Icelandic language
ispilu,noun,mirror
istripu,noun,crash (unintended collision)
isun,noun,fine
isuri,verb,"to pour, spill | to shed (blood, tears) | to empty, discharge (river)"
italiar,adjective,Italian
italiar,noun,A Italian person (man or woman)
italiera,noun,The Italian language
ito,verb,"to choke, suffocate | to drown"
itsas txakur,noun,seal
itsasalde,noun,"coast, seaside"
itsasargi,noun,lighthouse
itsasgarri,noun,glue
itsaso,noun,sea
itsasontzi,noun,"boat, ship"
itsasoratu,verb,(of a river) to flow into the Sea
itsu,adjective,blind | inveterate
itsu,adverb,"blind, unseeingly"
itsu,noun,"(animate) blind person | (inanimate, anatomy) caecum"
itsulapiko,noun,piggy bank
itsusi,adjective,ugly
itun,noun,"agreement, pact, treaty | testament"
iturgin,noun,plumber
iturri,noun,"source, spring | tap, faucet"
itxarongela,noun,waiting room
itzal,noun,shadow | respect
itzuli,verb,to return | to translate
itzultzaile,noun,translator
ixa,noun,The name of the Latin-script letter X.
ixil,adjective,"quiet, reserved in speech"
ixil-ixila,adverb,quietly
izain,noun,leech
izan,verb,"(auxiliary, intransitive) to be (copulative) to be (essentially or identified as) to exist; to occur (Navarro-Lapurdian, Souletin) to be (to occupy a place) (copulative, Navarro-Lapurdian, Souletin) to be (in a transient fashion) | (auxiliary, intransitive) Used to conjugate intransitive (nor) verbs. | (auxiliary, intransitive) Used to conjugate intransitive verbs with dative arguments (nor nori verbs). | (transitive) to have, to posses | (auxiliary, transitive) Used to conjugate transitive (nor nork) verbs. | (auxiliary, transitive) Used to conjugate transitive verbs with dative arguments (nor nori nork verbs)."
izan ezik,postposition,"except, but"
izar,noun,star
izate,noun,Verbal noun of izan.
izatezko,adjective,"real, actual | objective | innate"
izatezko bikote,noun,"domestic partnership, common-law marriage (legal union established in the Basque Country in 2003 to regulate the relationships of unmarried cohabiting couples)"
izeba,noun,aunt
izeko,noun,aunt
izen,noun,"name | (grammar) noun, substantive"
izenburu,noun,"title, epigraph"
izenlagun,noun,(grammar) adnominal
izerdi,noun,sweat
izkina,noun,corner
izokin,noun,salmon
izotz,noun,ice
izotzil,noun,January
izozki,noun,ice cream
izozmendi,noun,iceberg
iztai,noun,(anatomy) groin
izter,noun,thigh
izurde,noun,dolphin
jai,noun,festival
jaiegun,noun,holiday
jainko,noun,"god, deity"
jainkoilo,noun,"(rare, literary) butterfly"
jaio,verb,"to be born | to grow, to sprout"
jaioberri,noun,baby
jaitsi,verb,"to go down, come down, descend | to get out of, get off (vehicle)"
jaka,noun,jacket
jakadun,adjective,wearing a jacket
jakin,verb,to know
jan,noun,food
jan,verb,"to eat | to eat away, corrode"
janari,noun,food
japoniar,adjective,Japanese
japoniar,noun,A Japanese person (man or woman)
japoniera,noun,The Japanese language
jardun,verb,"to be busy doing something | to talk, to chat"
jarraiki,verb,"to follow, trail | to persecute, attack, go after"
jarri,verb,"to put, place, lay down | to write | to sit down | to get used to, become accustomed to | to be given to, take a liking to | to lay (eggs)"
jatetxe,noun,restaurant
jaun,noun,lord
